Raw Tweets,Clean Tweets,Sentiment
@MikeDixonSports @Titans @WilliamHillUS @AlexDonno @DolphinsDouche Vegas is usually painfully right,Vegas is usually painfully right,0.2857142857142857
@SNFonNBC @Titans @carlosparis75 @frankieleodis It's all preseason fun. #StanleyCup,It s all preseason fun StanleyCup,0.3
@SteveMunier @TaylorLewan77 @Titans Lol @ them some more maybe you will get noticed.,Lol them some more maybe you will get noticed,0.65
Tennessee Titans! Future Super Bowl champs ✊🏻💪 https://t.co/2dswGxgKQC,Tennessee Titans Future Super Bowl champs,0.16666666666666666
Guys my iPhone version of the @carrieunderwood anthem includes the catfish and @Titans with beer &amp; catfish.🏒🏒🏒❤️😊🍺🍺🍺@PredsNHL,Guys my iPhone version of the anthem includes the catfish and with beer amp catfish,0.0
@SNFonNBC @Titans Offensive linemen always seem to be  the real MVP’s 😂🔥,Offensive linemen always seem to be the real MVP s,0.2
Tennessee Titans O-line uses catfish to funnel beers at Predators game: https://t.co/zhJWxJjwrz https://t.co/1SvlXbwVCZ,Tennessee Titans O line uses catfish to funnel beers at Predators game,-0.4
@DM99Boston @Titans @Patriots Big boy bonding.,Big boy bonding,0.0
@cskalz @SNFonNBC @Titans @TaylorLewan77 He really is,He really is,0.2
QB Falk selected by Titans with 'Tom Brady' pick https://t.co/OZROv460tq,QB Falk selected by Titans with Tom Brady pick,0.0
Taylor Lewan should absolutely be the mayor of Nashville https://t.co/9sMs7lpmVg,Taylor Lewan should absolutely be the mayor of Nashville,0.2
@NHLonNBCSports @Titans Missing the part where dude is giving crowd the finger and telling people fuck you.,Missing the part where dude is giving crowd the finger and telling people fuck you,-0.30000000000000004
This is why I love the @titans @TaylorLewan77 https://t.co/O08K4f0p9u,This is why I love the,0.5
@TedNesNA @RawMikeRichards @Titans #Party https://t.co/u4wBZGUux4,Party,0.0
"@Titans O-Line, when we partying together #Beauties",O Line when we partying together Beauties,0.0
@Matthg24 @SNFonNBC @Titans Omg this explains @TaylorLewan77 tweet! He’s the goat 🐐,Omg this explains tweet He s the goat,0.0
@homebrewdan1 I saw @Titans got an A- and the next one said they got a D,I saw got an A and the next one said they got a D,0.0
@barstoolhrtland @Titans @theGOSPELofJON @zachthomas27 @JBang98 new game for cluckfest,new game for cluckfest,-0.13181818181818183
#ThatsMyOLine @Titans,ThatsMyOLine,0.0
@NFL @Titans @Colts @Vikings @Patriots @Bengals @49ers @Ravens @Eagles @Saints @packers @Chargers @RAIDERS… https://t.co/FhwHOQEG8Y,,0.0
What a classless display of professionalism by the @Titans players before the @PredsNHL game. #NHLPlayoffs,What a classless display of professionalism by the players before the game NHLPlayoffs,-0.4
okay coach @CoachVrabel50 I'm 41 knees are shot from 5 ACL's but I'm willing to be your 3rd string QB and I don't n… https://t.co/p3UXJVmSTq,okay coach I m 41 knees are shot from 5 ACL s but I m willing to be your 3rd string QB and I don t n,0.25
@SNFonNBC @Titans Hopefully they're better at partying then they are at football 🏈,Hopefully they re better at partying then they are at football,0.5
"@NHLonNBCSports @Titans wow, and you call that a hockey town.... give me a break....",wow and you call that a hockey town give me a break,0.1
@Scottbarbecues @SNFonNBC @Titans Thats my Dad,Thats my Dad,0.0
"@RawMikeRichards @DavidBastl 

Gotta admit, seeing @Titans support #Press is pretty awesome!..... https://t.co/RrTANqYBiL",Gotta admit seeing support Press is pretty awesome,0.625
"@JSCrews4 @NHLonNBCSports @Titans @MikeVrabel Nothing against partying hard, but doing it on national TV in prime t… https://t.co/aQPUOACVdL",Nothing against partying hard but doing it on national TV in prime t,-0.2916666666666667
"The @Titans O Line is the definition of a Smashville!! #PlayoffHockey #BecauseItsTheCup 

https://t.co/IM3KZpkVVD",The O Line is the definition of a Smashville PlayoffHockey BecauseItsTheCup,0.0
